Урок,Статус ДЗ,URL
PS01. Введение в веб-парсинг,Нет ДЗ,/teach/control/lesson/view/id/336393141
PS02. Основы работы с библиотекой Requests,Нет ДЗ,/teach/control/lesson/view/id/336393142
PS03. Парсинг HTML с помощью BeautifulSoup,Нет ДЗ,/teach/control/lesson/view/id/336393143
PS04. Взаимодействие с динамическим контентом. Использование Selenium,Нет ДЗ,/teach/control/lesson/view/id/336393145
PS05. Введение в Scrapy. Web Scraping,Нет ДЗ,/teach/control/lesson/view/id/336393146
PS06. Работа с данными и сохранение результатов,Нет ДЗ,/teach/control/lesson/view/id/336393147
"Обратная связь по теме ""Парсинг""",Нет ДЗ,/teach/control/lesson/view/id/336393149
